lumi,d2_0,d2_1,d2_3,d2_4,d2_7,d2_9,d2_12,d2_13,d2_16,d2_19,d2_21,d2_25,d2_27,d2_28,d2_31,d2_36,d2_37,d2_39,d2_43,d2_48,d2_49,d2_52,d2_57,d2_61,d2_63,d2_64,d2_67,d2_73,d2_75,d2_76,d2_79,d2_81,d2_84,d2_91,d2_93,d2_97,d2_100,d2_103,d2_108,d2_109,d2_111,d2_112,d2_117,d2_121,d2_124,d2_127,d2_129,d2_133,d2_139,d2_144,d2_147,d2_148,d2_151,d2_156,d2_157,d2_163,d2_169,d2_171,d2_172,d2_175,d2_181,d2_183,d2_189,d2_192,d2_193,d2_196,d2_199,d2_201,d2_208,d2_211,d2_217,d2_219,d2_223,d2_225,d2_228,d2_229,d2_237,d2_241,d2_243,d2_244,d2_247,d2_252,d2_256,d2_259,d2_268,d2_271,d2_273,d2_277,d2_279,d2_283,d2_289,d2_291,d2_292,d2_300,d2_301,d2_304,d2_307,d2_309,d2_313,d2_316,d2_324,d2_325,d2_327,d2_336
21,80.22544860839844,324.85125732421875,264.37786865234375,229.75599670410156,358.2645568847656,146.75762939453125,134.39385986328125,265.4564208984375,113.48648834228516,233.721923828125,223.0924530029297,115.73796844482422,107.89826965332031,227.5418701171875,211.4643096923828,102.25701141357422,204.548095703125,191.3344268798828,202.1048583984375,84.8829116821289,237.6404571533203,156.7169952392578,121.32180786132812,94.52890014648438,104.20543670654297,50.98137283325195,80.39554595947266,72.74099731445312,37.41290283203125,52.124732971191406,45.2474365234375,27.119853973388672,44.26702117919922,61.91537857055664,40.536373138427734,35.7414436340332,17.39383316040039,32.91020202636719,23.086030960083008,39.48539352416992,23.86260223388672,34.092803955078125,31.973140716552734,16.486572265625,36.19834518432617,37.792354583740234,37.372928619384766,79.19413757324219,38.47521209716797,18.540287017822266,55.71486282348633,38.57228469848633,37.334712982177734,35.867767333984375,33.54237747192383,31.546480178833008,46.227264404296875,30.391536712646484,27.352285385131836,28.467971801757812,25.323348999023438,26.35847282409668,24.407018661499023,10.454544067382812,20.980369567871094,30.653940200805664,20.49793243408203,18.0,15.169421195983887,15.236564636230469,24.837793350219727,11.123964309692383,10.190086364746094,4.904960632324219,8.943181991577148,8.502065658569336,6.680787086486816,5.885332107543945,2.5196290016174316,4.806818962097168,9.248964309692383,3.8481409549713135,1.6797524690628052,6.27272891998291,2.2076456546783447,1.738637089729309,3.533059597015381,1.3512399196624756,1.5113637447357178,0.9772728085517883,0.41735541820526123,0.6198347210884094,0.8026860952377319,0.1849173605442047,0.8347110152244568,0.30888426303863525,0.2820247709751129,0.1931818276643753,0.1735537201166153,0.14979338645935059,0.020661156624555588,0.0361570306122303,0.03305785357952118,0.009297521784901619
22,82.62353515625,349.3993835449219,287.0133056640625,249.52310180664062,391.8628845214844,161.70782470703125,144.6649169921875,284.23052978515625,124.33804321289062,247.562744140625,236.73590087890625,123.28622436523438,114.50950622558594,233.66616821289062,223.98443603515625,107.81373596191406,211.43287658691406,198.31182861328125,206.12142944335938,87.2680435180664,252.77903747558594,164.50120544433594,134.81182861328125,102.4244155883789,111.843505859375,57.08216094970703,94.43173217773438,87.59002685546875,42.024879455566406,63.70398712158203,57.99263381958008,34.47438049316406,60.50981140136719,94.76095581054688,55.746803283691406,49.2094841003418,23.57164192199707,46.92576599121094,34.59737014770508,57.588802337646484,39.80103302001953,53.8868408203125,49.399654388427734,25.480968475341797,53.320068359375,59.6020622253418,61.633216857910156,116.59517669677734,60.93946075439453,27.814882278442383,87.50344848632812,62.39101791381836,60.048458099365234,57.420448303222656,54.7093620300293,55.19203186035156,76.20767974853516,49.43080520629883,49.16437911987305,47.702415466308594,43.91522216796875,46.702430725097656,42.089969635009766,18.717992782592773,38.08476638793945,55.71278762817383,35.930809020996094,32.53114318847656,28.181659698486328,27.04498291015625,44.558837890625,20.363317489624023,18.519033432006836,9.413495063781738,17.676469802856445,15.932523727416992,12.686846733093262,11.628026008605957,5.077854633331299,9.418683052062988,18.396190643310547,7.198960781097412,3.6280272006988525,11.826983451843262,4.245673656463623,3.1574387550354004,6.688580513000488,2.553632974624634,2.6314876079559326,2.0519027709960938,0.7214533090591431,1.4065742492675781,1.0242215394973755,0.33044981956481934,1.4048442840576172,0.5588235855102539,0.28373706340789795,0.3494809865951538,0.23183391988277435,0.24394464492797852,0.024221453815698624,0.06747405230998993,0.015570934861898422,0.0034602077212184668
23,77.86738586425781,322.6034240722656,264.6421813964844,227.934814453125,357.361328125,147.5886993408203,130.38726806640625,260.7578125,113.54771423339844,231.12393188476562,221.077880859375,116.01451110839844,108.2999038696289,223.48599243164062,211.48887634277344,101.48636627197266,205.46990966796875,190.76239013671875,198.88504028320312,83.01805877685547,235.525390625,157.00660705566406,120.24281311035156,92.4671859741211,102.38964080810547,50.49635314941406,79.59043884277344,70.83267974853516,35.964691162109375,49.39952850341797,41.64256286621094,25.589805603027344,39.449920654296875,56.12128829956055,37.84516906738281,33.66754150390625,16.716821670532227,30.917762756347656,21.783218383789062,36.46344757080078,22.61790657043457,32.412384033203125,28.702945709228516,14.942179679870605,31.640586853027344,36.81858825683594,34.71768569946289,65.69386291503906,33.979591369628906,15.878684997558594,49.4455680847168,34.58731460571289,35.39908218383789,33.27777862548828,31.941051483154297,31.266433715820312,45.090675354003906,28.477313995361328,29.134925842285156,28.128116607666016,26.630380630493164,27.863948822021484,24.589569091796875,10.786850929260254,21.0396785736084,30.763032913208008,20.94671058654785,18.70294189453125,16.507932662963867,15.620185852050781,25.2244815826416,11.697278022766113,10.529478073120117,5.196147441864014,10.056695938110352,9.265307426452637,7.513609409332275,6.553286075592041,2.821995258331299,5.416100978851318,10.335603713989258,3.948979377746582,1.9365077018737793,6.892292022705078,2.276644229888916,2.0396828651428223,3.631519079208374,1.4489796161651611,1.4455782175064087,1.0045350790023804,0.35941046476364136,0.6802721619606018,0.6088436245918274,0.20748299360275269,0.7528344988822937,0.34580498933792114,0.13718822598457336,0.18707484006881714,0.0793650820851326,0.14058957993984222,0.011337868869304657,0.04988662153482437,0.0,0.0022675737272948027
24,79.46080017089844,337.04168701171875,269.5685729980469,238.78248596191406,368.52423095703125,151.54896545410156,137.22637939453125,269.4039306640625,115.66800689697266,241.462158203125,229.23204040527344,114.44696807861328,112.7002944946289,229.58433532714844,211.51605224609375,103.97592163085938,211.77244567871094,195.58248901367188,199.27981567382812,87.46997833251953,243.79971313476562,158.5964813232422,125.38434600830078,100.30429077148438,107.46346282958984,51.475868225097656,87.11006164550781,76.11253356933594,35.06300735473633,56.26195526123047,50.78049850463867,28.972537994384766,46.58030700683594,70.58272552490234,40.508148193359375,38.965362548828125,18.95461654663086,35.268672943115234,23.77096939086914,42.07989501953125,30.96539306640625,36.609317779541016,33.45673751831055,17.659168243408203,36.60208511352539,41.394474029541016,39.21108627319336,81.25782775878906,41.53288269042969,22.01211166381836,61.94986343383789,40.603816986083984,42.89620590209961,41.92561340332031,43.10553741455078,39.989627838134766,58.02769088745117,36.54498291015625,38.76817321777344,36.09342575073242,34.664371490478516,35.314876556396484,31.65052032470703,14.32525634765625,27.544971466064453,41.6885871887207,26.51556968688965,25.30276870727539,22.449827194213867,19.228368759155273,33.95156478881836,16.410032272338867,14.804491996765137,6.37197208404541,11.198958396911621,12.257781982421875,9.031140327453613,7.1107258796691895,3.8027682304382324,7.949825286865234,12.972309112548828,6.027680397033691,2.2128026485443115,7.932523250579834,2.9688572883605957,3.09169602394104,4.967127323150635,1.8615919351577759,1.5086506605148315,1.2283738851547241,0.21972320973873138,0.8356401324272156,0.5484429597854614,0.30276817083358765,0.8339101672172546,0.314878910779953,0.09861592203378677,0.18166090548038483,0.04325259104371071,0.06574395298957825,0.0034602077212184668,0.015570934861898422,0.0034602077212184668,0.0
25,72.17852020263672,293.2768859863281,239.00958251953125,206.10382080078125,319.41204833984375,130.3303985595703,119.51873779296875,236.643798828125,100.47251892089844,212.6407012939453,199.90283203125,103.44357299804688,96.14871978759766,206.31240844726562,186.9988555908203,90.22193145751953,186.0820770263672,170.28057861328125,179.8879852294922,76.78997802734375,212.77459716796875,138.03582763671875,104.99738311767578,83.78082275390625,95.6729507446289,45.77272033691406,70.17980194091797,62.65202331542969,32.50973892211914,45.32387161254883,36.936927795410156,22.190044403076172,39.587547302246094,52.61981201171875,34.53553009033203,28.243629455566406,16.387359619140625,29.909381866455078,18.641342163085938,31.26194953918457,22.143861770629883,29.526065826416016,25.226608276367188,14.022713661193848,28.426185607910156,27.69822120666504,28.451066970825195,62.588436126708984,32.222843170166016,15.87344741821289,46.71063232421875,28.285551071166992,28.39697265625,28.973499298095703,29.34560203552246,28.207693099975586,36.87615966796875,24.163341522216797,24.901031494140625,23.742563247680664,21.65386390686035,21.608444213867188,18.944303512573242,8.38615608215332,16.690109252929688,25.101137161254883,15.50027084350586,14.762578964233398,12.189291000366211,11.195246696472168,19.0438175201416,9.170363426208496,8.175230979919434,3.448350667953491,6.075717926025391,6.540834426879883,4.805841445922852,3.7879951000213623,2.047592878341675,3.9891841411590576,6.679288387298584,2.977825403213501,1.0210925340652466,4.019472122192383,1.2958356142044067,1.2536506652832031,2.0454301834106445,0.9464575052261353,0.680367648601532,0.731205940246582,0.16982153058052063,0.4294212758541107,0.25419142842292786,0.1806381791830063,0.4575446546077728,0.20876148343086243,0.045429959893226624,0.10708491504192352,0.0411033034324646,0.042184967547655106,0.0,0.009734991937875748,0.006489994935691357,0.0
26,80.80934143066406,331.6005554199219,268.4990539550781,234.9505615234375,362.6407470703125,150.34979248046875,135.88255310058594,268.1441650390625,114.81422424316406,240.04542541503906,226.23696899414062,117.96259307861328,110.54351806640625,231.17721557617188,213.9318389892578,103.7710952758789,211.14422607421875,193.38429260253906,203.98912048339844,86.8042221069336,242.7376708984375,159.7391357421875,121.49037170410156,95.42912292480469,109.70426940917969,50.2437744140625,81.79380798339844,74.48872375488281,34.705078125,50.843101501464844,44.270721435546875,25.464569091796875,46.308753967285156,59.61065673828125,38.17272186279297,35.5774040222168,17.83919906616211,34.126220703125,23.69272232055664,38.17988586425781,24.51259994506836,34.01850891113281,28.962963104248047,15.949631690979004,31.21283721923828,33.50222396850586,35.27901840209961,69.021240234375,33.187164306640625,17.01728630065918,51.399505615234375,36.09580612182617,34.50075149536133,33.630611419677734,33.32841110229492,32.38517761230469,46.81778335571289,30.578760147094727,29.83407974243164,29.602956771850586,26.934309005737305,26.884933471679688,24.771350860595703,11.079505920410156,22.311113357543945,32.7940673828125,21.187158584594727,20.505674362182617,17.084449768066406,15.692838668823242,26.996543884277344,12.56789779663086,11.529878616333008,5.438024520874023,10.058272361755371,9.749133110046387,7.671112537384033,6.905679225921631,2.9106178283691406,5.753087043762207,10.993583679199219,4.668642997741699,2.0997531414031982,7.251357555389404,2.325927257537842,2.0523462295532227,3.856790542602539,1.609876036643982,1.473580241203308,1.188148021697998,0.4306173026561737,0.7940741777420044,0.6696295738220215,0.2222222089767456,0.7822220921516418,0.29333338141441345,0.24691356718540192,0.1688888818025589,0.09876541793346405,0.07901234924793243,0.014814816415309906,0.0266666691750288,0.02271605283021927,0.004938271827995777
27,85.40042114257812,357.2067565917969,292.68243408203125,253.69747924804688,397.5181884765625,163.49502563476562,151.11178588867188,288.1003112792969,125.40397644042969,261.2318420410156,241.20892333984375,123.54275512695312,119.69834899902344,243.85513305664062,226.01715087890625,107.63493347167969,227.40248107910156,205.69627380371094,211.29566955566406,95.82893371582031,262.30810546875,166.78831481933594,130.59500122070312,112.83145141601562,119.84053039550781,54.70970153808594,95.47409057617188,83.3069839477539,42.7888069152832,64.69131469726562,58.22892379760742,30.520950317382812,55.620506286621094,85.9051284790039,50.50728225708008,43.56961441040039,22.842185974121094,43.20648956298828,27.993743896484375,48.49150466918945,40.11775207519531,43.164058685302734,45.19213104248047,27.916324615478516,53.13221740722656,43.2076416015625,49.60742950439453,111.6208724975586,54.67044448852539,27.559917449951172,77.65699005126953,49.352256774902344,52.09090042114258,50.91218948364258,50.65805435180664,47.30165481567383,69.54854583740234,44.82025146484375,45.14046859741211,42.181785583496094,38.865692138671875,39.61982345581055,35.93180847167969,16.2902889251709,33.064056396484375,47.337791442871094,29.712800979614258,28.703510284423828,23.976240158081055,21.74896240234375,39.25101089477539,19.015501022338867,16.287193298339844,6.760330677032471,13.277892112731934,13.834711074829102,10.49690055847168,8.597108840942383,4.614670276641846,9.180787086486816,15.22830581665039,6.22727632522583,2.5940089225769043,9.643596649169922,3.327479600906372,2.8894641399383545,5.095043659210205,2.2830588817596436,1.9142568111419678,1.6053720712661743,0.5847107768058777,1.0650826692581177,0.983471155166626,0.3429751992225647,1.0929752588272095,0.44111570715904236,0.3233470916748047,0.2014462798833847,0.1487603485584259,0.09400827437639236,0.008264463394880295,0.045454543083906174,0.03099173679947853,0.012396695092320442
28,75.19776916503906,326.8238830566406,263.0986328125,231.4073028564453,353.73052978515625,147.105712890625,131.69027709960938,260.0273132324219,112.42959594726562,233.36741638183594,225.23191833496094,113.48247528076172,107.52643585205078,224.01864624023438,210.732666015625,103.16495513916016,203.58831787109375,192.03282165527344,198.9809112548828,84.1203842163086,239.16856384277344,149.9929962158203,121.95018005371094,95.06771850585938,101.03816223144531,49.03327941894531,80.21719360351562,69.48579406738281,32.330284118652344,50.673866271972656,44.7611083984375,24.401159286499023,40.441375732421875,60.350791931152344,34.56447982788086,30.801244735717773,14.993610382080078,29.449256896972656,20.4959716796875,37.20513916015625,25.592979431152344,32.67866516113281,30.501131057739258,15.918366432189941,35.21086502075195,37.518157958984375,37.7516975402832,74.8877944946289,38.022666931152344,19.784584045410156,57.856021881103516,37.19953918457031,36.15192794799805,36.57710647583008,36.13038635253906,34.03061294555664,46.92287826538086,30.692752838134766,31.39455223083496,29.202945709228516,27.057830810546875,27.250574111938477,24.075963973999023,10.8287992477417,21.69274139404297,30.3662166595459,19.649656295776367,18.258501052856445,15.377552032470703,14.2539701461792,23.680278778076172,11.285717010498047,9.98186206817627,4.4569172859191895,8.285714149475098,8.070296287536621,6.03401517868042,5.0929718017578125,2.4399094581604004,4.620182514190674,8.289118766784668,3.5136055946350098,1.480725646018982,5.116781234741211,1.5498864650726318,1.4399094581604004,2.764171600341797,1.0408165454864502,0.8684808015823364,0.7006803750991821,0.26417240500450134,0.5340136289596558,0.450113445520401,0.1190476268529892,0.43537411093711853,0.1893424093723297,0.11451247334480286,0.11564628034830093,0.06689342111349106,0.05442177131772041,0.011337868869304657,0.02154194936156273,0.0022675737272948027,0.011337868869304657
29,81.85599517822266,341.58734130859375,282.1794128417969,245.33657836914062,380.3605041503906,157.77554321289062,143.21505737304688,282.554443359375,121.03155517578125,250.75462341308594,237.06146240234375,125.0173110961914,115.17745208740234,241.1295166015625,223.52047729492188,107.50045013427734,217.55128479003906,200.76239013671875,210.9779052734375,90.06129455566406,250.64585876464844,161.27621459960938,127.5537109375,99.86155700683594,110.36888122558594,53.66954040527344,84.91419219970703,74.28658294677734,40.177024841308594,55.1862907409668,46.89887237548828,27.041122436523438,45.348167419433594,65.08841705322266,44.001312255859375,34.36172866821289,19.614036560058594,35.195953369140625,23.520090103149414,37.74819564819336,27.51650047302246,35.568206787109375,32.3288459777832,18.053003311157227,38.35588455200195,35.786930084228516,38.286651611328125,81.17041778564453,40.42835235595703,18.778797149658203,58.38617706298828,37.52623748779297,37.163875579833984,38.062747955322266,35.76852035522461,36.254188537597656,49.32614517211914,31.871280670166016,33.560855865478516,30.7322998046875,29.11952018737793,29.33477783203125,26.734458923339844,11.612765312194824,23.675506591796875,34.34505844116211,22.45646858215332,20.573280334472656,18.010818481445312,16.41320037841797,28.246641159057617,13.836671829223633,11.718762397766113,5.223361968994141,9.405088424682617,10.027043342590332,7.7533793449401855,6.740941047668457,3.249323844909668,6.424012660980225,10.85344123840332,4.642510890960693,1.9080582857131958,7.179017066955566,2.2065975666046143,2.30502986907959,3.9621434211730957,1.6398048400878906,1.410492181777954,1.251487135887146,0.3407246768474579,0.8393725752830505,0.5624661445617676,0.2260681390762329,0.6608977913856506,0.29529476165771484,0.08004327118396759,0.21525149047374725,0.06814493983983994,0.08653327077627182,0.004326662980020046,0.02055164985358715,0.002163331490010023,0.0
30,77.09751892089844,323.32012939453125,267.0601806640625,233.0783233642578,360.5189208984375,149.64187622070312,132.26248168945312,265.966064453125,114.04806518554688,234.27810668945312,224.255859375,116.1972885131836,105.56868743896484,223.1129913330078,208.7866973876953,101.4198226928711,200.0968475341797,189.8502197265625,199.8209686279297,81.83570098876953,236.3956298828125,153.79202270507812,125.15789794921875,93.76995849609375,105.06061553955078,52.642860412597656,83.50804138183594,75.42515563964844,38.22743225097656,54.2381591796875,49.301692962646484,27.947954177856445,46.93904113769531,71.72911071777344,45.164756774902344,38.18016815185547,20.323776245117188,37.92585754394531,23.852590560913086,44.37086486816406,29.69140625,39.77900314331055,37.34765625,18.337890625,39.619140625,44.5625,44.068359375,89.396484375,42.55859375,20.58984375,66.197265625,47.255859375,44.37109375,41.044921875,41.591796875,40.09375,58.134765625,38.43359375,38.361328125,36.623046875,35.751953125,36.205078125,32.65234375,14.09375,28.521484375,40.951171875,27.59765625,24.236328125,21.583984375,20.86328125,33.8671875,16.349609375,14.46875,7.193359375,12.650390625,12.0859375,9.3125,8.154296875,3.814453125,7.453125,14.068359375,5.599609375,2.625,7.884765625,2.701171875,2.451171875,4.361328125,1.748046875,1.26171875,1.130859375,0.349609375,0.70703125,0.56640625,0.16796875,0.654296875,0.25390625,0.109375,0.203125,0.080078125,0.0703125,0.005859375,0.04296875,0.0078125,0.0
